109090,Swen Vincke
1423536,Valérie Coessens
11278,Mohammed Davoudian
832165,Ali Donovan
864459,Stanislav Tihohod
1163388,Sam Passmore
1178196,Aaron Hinchion
565256,Lim Ying Jie
108966,Robert Olson
1423898,Hans Buyse
156532,Philip Weiss
938479,Gage Allen
1424013,Alister Collins
148714,Hidemaro Fujibayashi
126778,Sunmee Jang
23119,Gary Barth
1251395,Carter Swan
1427281,Manabu Kinoshita
51028,Darren Bartlett
657113,Chuck Byas
1388222,Alex Chin-Yu Chu
277976,Hidetaka Miyazaki
567063,Yui Tanimura
761637,Zhixiang Dai
507587,Kazuyuki Kuno
43456,Shinji Aramaki
693203,Hiroyuki Hayashi
547643,Akiyoshi Takeuchi
342465,Qiu Jian Ping
162867,István Zorkóczy
934335,Róbert Kádár
30548,Dennis Lee
474629,Dimitri Koulouris
428,Mark Gilbert
572266,Sebastian Long
418053,Masakazu Yoshiba
256640,William Wang
233225,Katsura Hashino
78521,Yoshihisa Shimizu
854809,Hitoshi Uehara
98398,Kazuya Ichikawa
6529,Ben Smedstad
1823090,François Meurisse
1823434,Timothée Borne
73057,Eric Williams
73050,Cory Barlog
135716,Daryl Allison
648103,Brandon Akiaten
728694,Jon Budden
1107129,Nancy Kim
1107501,Chris Williams
686322,Blake Robertson
686512,Ed Easton
47332,Yasuhiro Anpo
78879,Kazunori Kadoi
1170308,Pin Hung Kuo
192491,Julien Brami
1346008,Marcio Sguilaro
522049,Andre Mello
993816,Shaun Ono
510162,Josef Fares
317788,Sini Downing
498743,Ryosuke Horii
1159952,Hiroyuki Ushikubo
224260,Masayoshi Yokoyama
69447,Shiro Mouri
1438503,Shunya Hatakeyama
95820,Manabu Koike
1290476,Taku Inoue
40699,Takayuki Nakayama
33342,Tetsuya Nomura
247081,Naoki Hamaguchi
55660,Motomu Toriyama
279023,Hiroki Ogawa
749158,Kazuma Noro
49345,Katie Young
211252,Isao Nakajima
60214,Daisuke Kobayashi
219622,Hirokuni Matsuyama
564337,Kenji Ishiwata
47408,Florent Moreau
219636,Kanji Tashiro
124533,Oli Chance
153247,Shinobu Sugiyama
828290,Kinoko Nasu
57572,Kenta Motokura
386012,Wataru Tanaka
396598,Kazuya Takahashi
457979,Takayuki Iwasaki
317802,Daisuke Yajima
242524,Daiki Ito
1815766,Tonda Ros
853152,Paul Owens
87738,Daniel Vávra
1134323,David Toušek
677805,John Eidelmann
106219,James Rebours
542660,Bernd Thien
1091707,Roger Clarke
92377,Kouhei Ikeda
274731,Yasuki Nakabayashi
574393,Chong Chao
1372686,Masataka Doi
308433,Shinichi Masuda
308046,Todd Stallkamp
464271,Hui-An Yang
301742,Hee-Cheol Na
902544,Hsin-ju Lu
249197,Masahiro Nishimura
979418,Herrick Chiu Ho Yu
247169,Kohei Maetsuka
952899,Zhong Wang
75634,Adam Chapman
43836,Larry Sparks
306437,Yuya Tokuda
755201,Taishi Sato
107580,Shinji Imai
1157521,Dezhong Wang
438295,Kaname Fujioka
164644,Neil Druckmann
244166,Andrey Supryaga
219717,Thomas Farrer
836030,Carl Chen
1100063,Kim Young Kyong
180856,Isamu Terasaka
301974,Ryo Sogabe
37217,Hironori Komiya
33355,Tetsuya Takahashi
291130,José Luis Márquez Arroyo
638289,Fumihiko Hayashi
63866,David Dedeine
218715,Mukund Rao
724733,Patrick Green
197200,Ben Adams
548312,Julie Lowe
631048,Emil Rodriguez
461010,Thomas Mahler
435439,Regan O'Leary
287194,Keisuke Koga
120253,Katsuya Shimazaki
1029555,Michio Takahashi
661291,Michael Brown
381479,Andrew Ward
952102,Kim Williams-Osborne
87832,Ling Chao
481525,Glen Gathard
1257658,Aziz Burak Kandaz
77953,Gary Dunn
458613,Tom Turner
832913,Zhang Lu
69077,Bruce Straley
527364,Matthew R. Gallant
376347,Shaun Escayg
270227,Waylon Brinck
199771,Shannon Potter
292649,Daniel Johnson Staton
967781,Kan Supabanpot
126782,Alyssa Casella
50433,Hideo Kojima
52657,Kyle Cooper
107548,Ryo Horibe
1855751,Roberto Vilches Vega
44071,Elodie Hummel
15987,Eric McCall
657799,John Johanas
1320367,Douglas De Azevedo
9761,Harvard Bonin
1449586,Matthias Linda
258584,Masahiko Nagaya
1554602,April Harff
349210,Tim Wilson
4038,Darren Yeomans
135002,Frederik Fusager
346662,Jesper Sølling Andersen
1553736,Ben Behr
298100,Zhiyong Xu
832808,Jaeho Hwang
318259,Shigeo Komori
323138,Kurt Margenau
10028,Gavin Moore
74676,Nicolas Doucet
37194,Keiichi Kitahara
1753719,Isao Takahashi
377300,Seiichiro Funayama
803662,Akito Katsumata
148478,Tatsuro Nakamura
382901,Takeshi Hotta
354002,David Thach
174364,George Weising
126777,Ken Miyaki
52581,Nicolas Serres
13653,Ritchard Markelz
98697,Rob Thompson
51928,David Parkinson
204061,Davina Mackey
95271,Dan Bardino
1187734,Toshi Aoki
16053,Genevieve Waldman
417770,Ben Fiquet
1889614,Sébastien Iglésias
128728,Roman Campos-Oriola
117878,Eric Baptizat
451435,Christo Vuchetich
1119042,Deepa Sen
108328,Sami Järvi
231895,Kyle Rowley
1513847,Ash Denton
1513848,Gareth Wild
72520,Mattias Häggström
445752,Hélène Fortin
708464,Jukka Immonen
1514353,Riku Salomaa
981033,Thierry Boulanger
364173,Takuya Yamaguchi
501113,Tadanori Inamura
291922,Adam Badowski
1157046,John Budden
1101873,Sam Blake
70112,Takafumi Noma
579293,Christian La Monte
188156,Tim Roe
158652,Aya Kyogoku
36193,Thomas Wilson
282069,Stéphane Gravel
36847,Jason Alejandre
895941,Jordan Coombs
970324,Mike Gonzales
539692,Gina Hope
1124563,Chris Roberts
688187,Neil Yang
147331,Sang Kim
733385,Brandon Cederholm
23958,Barry Kehoe
413262,Mamoru Ohta
483345,Shigekazu Yamada
56148,Nana Wallace
1252325,Kyle Ji Yu Kun
41188,Davor Hunski
498687,Mounir Radi
231102,Sam Cordier
173048,Istvan Tajnay
244944,Jon Bursey
318520,Sébastien Hould
2964,Thomas Scott
799656,Charles Huteau
278500,Hugo Martin
141388,John Jennings
122129,Simon Alty
56269,Frank Matzke
257845,Julie Chalmette
842761,Simeon Chirikov
26242,Joshua Eric Sawyer
605554,Mateusz Lenart
509160,Asuka Yamamoto
956310,Emnet Mulugeta
51455,Masashi Tsuboyama
491691,Klaus Jens
670638,Andrew Kohlhoff
75325,Mathijs de Jonge
419832,Joel Eschler
